query,objects1,objects2,locations1,locations2,actions1,actions2,actions3,actions4,actions5,intentions1,intentions2,intentions3,intentions4,persons1,persons2,persons3,persons4,relationships1,relationships2,circumstances1,circumstances2,circumstances3,task,language
I found that my bag is missing from my restaurant. Someone must have taken it without my knowledge.,bag,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my wallet from my bus without asking. I left it on the table and when I came back it was gone.,wallet,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
My laptop was stolen from my home. The accused person took it dishonestly without my consent.,laptop,,home,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
I found that my laptop is missing from my park. Someone must have taken it without my knowledge.,laptop,,park,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my laptop from my restaurant without asking. I left it on the table and when I came back it was gone.,laptop,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my mobile phone from my bus without asking. I left it on the table and when I came back it was gone.,mobile phone,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my money from my restaurant without asking. I left it on the table and when I came back it was gone.,money,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my money from my bag while I was in the bus. I did not give permission for this.,money,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
Someone took my jewelry from my office without asking. I left it on the table and when I came back it was gone.,jewelry,,office,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my wallet from my bag while I was in the park. I did not give permission for this.,wallet,,park,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
My money was stolen from my bus. The accused person took it dishonestly without my consent.,money,,bus,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
A person removed my watch from my bag while I was in the restaurant. I did not give permission for this.,watch,,restaurant,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
My money was stolen from my market. The accused person took it dishonestly without my consent.,money,,market,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
I found that my bag is missing from my office. Someone must have taken it without my knowledge.,bag,,office,,took,stolen,removed,,,without asking,without permission,dishonestly,without consent,accused,victim,,,,,from table,from bag,while away,entity_extraction,en
