query_id,user_query,language,task
QUERY_001,I found that my bag is missing from my restaurant. Someone must have taken it without my knowledge.,en,entity_extraction
QUERY_002,Someone took my wallet from my bus without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_003,My laptop was stolen from my home. The accused person took it dishonestly without my consent.,en,entity_extraction
QUERY_004,I found that my laptop is missing from my park. Someone must have taken it without my knowledge.,en,entity_extraction
QUERY_005,Someone took my laptop from my restaurant without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_006,Someone took my mobile phone from my bus without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_007,Someone took my money from my restaurant without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_008,A person removed my money from my bag while I was in the bus. I did not give permission for this.,en,entity_extraction
QUERY_009,Someone took my jewelry from my office without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_010,A person removed my wallet from my bag while I was in the park. I did not give permission for this.,en,entity_extraction
QUERY_011,My money was stolen from my bus. The accused person took it dishonestly without my consent.,en,entity_extraction
QUERY_012,A person removed my watch from my bag while I was in the restaurant. I did not give permission for this.,en,entity_extraction
QUERY_013,My money was stolen from my market. The accused person took it dishonestly without my consent.,en,entity_extraction
QUERY_014,I found that my bag is missing from my office. Someone must have taken it without my knowledge.,en,entity_extraction
QUERY_015,My jewelry was stolen from my restaurant. The accused person took it dishonestly without my consent.,en,entity_extraction
QUERY_016,A person removed my wallet from my bag while I was in the park. I did not give permission for this.,en,entity_extraction
QUERY_017,I found that my mobile phone is missing from my restaurant. Someone must have taken it without my knowledge.,en,entity_extraction
QUERY_018,A person removed my mobile phone from my bag while I was in the bus. I did not give permission for this.,en,entity_extraction
QUERY_019,My laptop was stolen from my home. The accused person took it dishonestly without my consent.,en,entity_extraction
QUERY_020,I found that my watch is missing from my bus. Someone must have taken it without my knowledge.,en,entity_extraction
QUERY_021,I found that my jewelry is missing from my bus. Someone must have taken it without my knowledge.,en,entity_extraction
QUERY_022,Someone took my laptop from my market without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_023,A person removed my laptop from my bag while I was in the bus. I did not give permission for this.,en,entity_extraction
QUERY_024,My jewelry was stolen from my office. The accused person took it dishonestly without my consent.,en,entity_extraction
QUERY_025,Someone took my bag from my bus without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_026,Someone took my laptop from my home without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_027,Someone took my bag from my restaurant without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_028,Someone took my mobile phone from my park without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_029,Someone took my bag from my market without asking. I left it on the table and when I came back it was gone.,en,entity_extraction
QUERY_030,A person removed my mobile phone from my bag while I was in the bus. I did not give permission for this.,en,entity_extraction
QUERY_031,My jewelry was stolen from my market. The accused person took it dishonestly without my consent.,en,entity_extraction
QUERY_032,A person removed my bag from my bag while I was in the park. I did not give permission for this.,en,entity_extraction
QUERY_033,I found that my wallet is missing from my restaurant. Someone must have taken it without my knowledge.,en,entity_extraction
QUERY_034,A person quickly snatched my purse while I was walking in bus stop.,en,entity_extraction
QUERY_035,Someone suddenly grabbed my purse from my hands in the bus stop and ran away.,en,entity_extraction
QUERY_036,My purse was forcibly taken from me by someone in bus stop. They seized it suddenly.,en,entity_extraction
QUERY_037,Someone suddenly grabbed my bag from my hands in the market and ran away.,en,entity_extraction
