entity_id,entity_type,entity_value,query_id
ENTITY_0001,objects,bag,QUERY_001
ENTITY_0002,locations,restaurant,QUERY_001
ENTITY_0003,actions,took,QUERY_001
ENTITY_0004,actions,stolen,QUERY_001
ENTITY_0005,actions,removed,QUERY_001
ENTITY_0006,intentions,without asking,QUERY_001
ENTITY_0007,intentions,without permission,QUERY_001
ENTITY_0008,intentions,dishonestly,QUERY_001
ENTITY_0009,intentions,without consent,QUERY_001
ENTITY_0010,persons,accused,QUERY_001
ENTITY_0011,persons,victim,QUERY_001
ENTITY_0012,circumstances,from table,QUERY_001
ENTITY_0013,circumstances,from bag,QUERY_001
ENTITY_0014,circumstances,while away,QUERY_001
ENTITY_0015,objects,wallet,QUERY_002
ENTITY_0016,locations,bus,QUERY_002
ENTITY_0017,actions,took,QUERY_002
ENTITY_0018,actions,stolen,QUERY_002
ENTITY_0019,actions,removed,QUERY_002
ENTITY_0020,intentions,without asking,QUERY_002
ENTITY_0021,intentions,without permission,QUERY_002
ENTITY_0022,intentions,dishonestly,QUERY_002
ENTITY_0023,intentions,without consent,QUERY_002
ENTITY_0024,persons,accused,QUERY_002
ENTITY_0025,persons,victim,QUERY_002
ENTITY_0026,circumstances,from table,QUERY_002
ENTITY_0027,circumstances,from bag,QUERY_002
ENTITY_0028,circumstances,while away,QUERY_002
ENTITY_0029,objects,laptop,QUERY_003
ENTITY_0030,locations,home,QUERY_003
ENTITY_0031,actions,took,QUERY_003
ENTITY_0032,actions,stolen,QUERY_003
ENTITY_0033,actions,removed,QUERY_003
ENTITY_0034,intentions,without asking,QUERY_003
ENTITY_0035,intentions,without permission,QUERY_003
ENTITY_0036,intentions,dishonestly,QUERY_003
ENTITY_0037,intentions,without consent,QUERY_003
ENTITY_0038,persons,accused,QUERY_003
ENTITY_0039,persons,victim,QUERY_003
ENTITY_0040,circumstances,from table,QUERY_003
ENTITY_0041,circumstances,from bag,QUERY_003
ENTITY_0042,circumstances,while away,QUERY_003
ENTITY_0043,objects,laptop,QUERY_004
ENTITY_0044,locations,park,QUERY_004
ENTITY_0045,actions,took,QUERY_004
ENTITY_0046,actions,stolen,QUERY_004
ENTITY_0047,actions,removed,QUERY_004
ENTITY_0048,intentions,without asking,QUERY_004
ENTITY_0049,intentions,without permission,QUERY_004
ENTITY_0050,intentions,dishonestly,QUERY_004
ENTITY_0051,intentions,without consent,QUERY_004
ENTITY_0052,persons,accused,QUERY_004
ENTITY_0053,persons,victim,QUERY_004
ENTITY_0054,circumstances,from table,QUERY_004
ENTITY_0055,circumstances,from bag,QUERY_004
ENTITY_0056,circumstances,while away,QUERY_004
ENTITY_0057,objects,laptop,QUERY_005
ENTITY_0058,locations,restaurant,QUERY_005
ENTITY_0059,actions,took,QUERY_005
ENTITY_0060,actions,stolen,QUERY_005
ENTITY_0061,actions,removed,QUERY_005
ENTITY_0062,intentions,without asking,QUERY_005
ENTITY_0063,intentions,without permission,QUERY_005
ENTITY_0064,intentions,dishonestly,QUERY_005
ENTITY_0065,intentions,without consent,QUERY_005
ENTITY_0066,persons,accused,QUERY_005
ENTITY_0067,persons,victim,QUERY_005
ENTITY_0068,circumstances,from table,QUERY_005
ENTITY_0069,circumstances,from bag,QUERY_005
ENTITY_0070,circumstances,while away,QUERY_005
ENTITY_0071,objects,mobile phone,QUERY_006
ENTITY_0072,locations,bus,QUERY_006
ENTITY_0073,actions,took,QUERY_006
ENTITY_0074,actions,stolen,QUERY_006
ENTITY_0075,actions,removed,QUERY_006
ENTITY_0076,intentions,without asking,QUERY_006
ENTITY_0077,intentions,without permission,QUERY_006
ENTITY_0078,intentions,dishonestly,QUERY_006
ENTITY_0079,intentions,without consent,QUERY_006
ENTITY_0080,persons,accused,QUERY_006
ENTITY_0081,persons,victim,QUERY_006
ENTITY_0082,circumstances,from table,QUERY_006
ENTITY_0083,circumstances,from bag,QUERY_006
ENTITY_0084,circumstances,while away,QUERY_006
ENTITY_0085,objects,money,QUERY_007
ENTITY_0086,locations,restaurant,QUERY_007
ENTITY_0087,actions,took,QUERY_007
ENTITY_0088,actions,stolen,QUERY_007
ENTITY_0089,actions,removed,QUERY_007
ENTITY_0090,intentions,without asking,QUERY_007
ENTITY_0091,intentions,without permission,QUERY_007
ENTITY_0092,intentions,dishonestly,QUERY_007
ENTITY_0093,intentions,without consent,QUERY_007
ENTITY_0094,persons,accused,QUERY_007
ENTITY_0095,persons,victim,QUERY_007
ENTITY_0096,circumstances,from table,QUERY_007
ENTITY_0097,circumstances,from bag,QUERY_007
ENTITY_0098,circumstances,while away,QUERY_007
ENTITY_0099,objects,money,QUERY_008
ENTITY_0100,locations,bus,QUERY_008
ENTITY_0101,actions,took,QUERY_008
ENTITY_0102,actions,stolen,QUERY_008
ENTITY_0103,actions,removed,QUERY_008
ENTITY_0104,intentions,without asking,QUERY_008
ENTITY_0105,intentions,without permission,QUERY_008
ENTITY_0106,intentions,dishonestly,QUERY_008
ENTITY_0107,intentions,without consent,QUERY_008
ENTITY_0108,persons,accused,QUERY_008
